"Story","Title","Result","Date","Stability","Duration (s)"
"Login exitoso","Login usuario exitoso","SUCCESS","2022-08-08T17:23:48.869-05:00[America/Bogota]","0.0","17.81"
"Reserva de vuelo","Reserva de vuelo exitoso","SUCCESS","2022-08-09T09:57:26.364-05:00[America/Bogota]","0.0","24.52"
